LC529905.1_||Japan|2020-01,1,0,1,1,1,1,1,1,1,1,1,1
LC534418.1_||Japan|2020-02-14,1,0,1,1,1,1,1,1,1,1,1,1
LC534419.1_||Japan|2020-03-09,0,0,1,1,1,1,1,1,1,1,1,1
LC542809.1_||Japan|2020-03,1,0,1,1,1,1,1,1,1,1,1,1
LC542976.1_||Japan|2020-02,1,0,1,1,1,1,1,1,1,1,1,1
LC546038.1_||Japan|2020-03-23,1,0,1,1,1,1,1,1,1,1,1,1
LC547518.1_||Japan|2020-03-08,1,0,1,1,1,1,1,1,1,1,1,1
LC547519.1_||Japan|2020-03-10,1,0,1,1,1,1,1,1,1,1,1,1
LC547520.1_||Japan|2020-03-10,1,0,1,1,1,1,1,1,1,1,1,1
LC547521.1_||Japan|2020-03-09,1,0,1,1,1,1,1,1,1,1,1,1
LC547522.1_||Japan|2020-03-20,1,0,1,1,1,1,1,1,1,1,1,1
LC547523.1_||Japan|2020-03-11,1,0,1,1,1,1,1,1,1,1,1,1
LC547524.1_||Japan|2020-03-12,1,0,1,1,1,1,1,1,1,1,1,1
LC547525.1_||Japan|2020-03-12,1,0,1,1,1,1,1,1,1,1,1,1
LC547526.1_||Japan|2020-03-17,1,0,1,1,1,1,1,1,1,1,1,1
LC547527.1_||Japan|2020-03-18,1,0,1,1,1,1,1,1,1,1,1,1
LC547528.1_||Japan|2020-03-20,1,0,1,1,1,1,1,1,1,1,1,1
LC547529.1_||Japan|2020-03-20,1,0,1,1,1,1,1,1,1,1,1,1
LC547530.1_||Japan|2020-03-19,1,0,1,1,1,1,1,1,1,1,1,1
LC547531.1_||Japan|2020-03-12,1,0,1,1,1,1,1,1,1,1,1,1
LC547532.1_||Japan|2020-03-13,1,0,1,1,1,1,1,1,1,1,1,1
LC547533.1_||Japan|2020-03-13,1,0,0,1,1,1,1,0,1,1,1,1
LC549340.1_||Japan|2020-03,1,0,1,1,1,1,1,1,1,1,1,1
LC553257.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553258.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553259.2_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553260.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553261.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553262.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553263.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC553269.1_||Japan|2020-02,1,0,1,1,1,1,1,1,1,1,1,1
LC553270.1_||Japan|2020-03,1,0,1,1,1,1,1,1,1,1,1,1
LC556315.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556316.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556317.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556318.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556319.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556320.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556321.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556322.1_||Japan|2020-04,1,0,1,0,1,1,1,1,1,1,1,1
LC556323.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC556324.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565407.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565408.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565409.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565410.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565411.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565412.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565413.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC565414.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC567845.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567846.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567847.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567848.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567849.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567850.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567851.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567852.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567853.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567854.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567855.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567856.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567857.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567858.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC567859.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC572067.1_||Japan|2020-04,1,0,1,1,1,1,1,1,1,1,1,1
LC572068.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC572069.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC572070.1_||Japan|2020-05,1,0,1,1,1,1,1,1,1,1,1,1
LC573289.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573273.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,0,1,1
LC573274.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573275.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573276.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573277.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573278.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573279.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573280.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573281.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573282.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573283.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
LC573284.1_||Japan|2020-06,1,0,1,1,1,1,1,1,1,1,1,1
